"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Horizontal_Distance_To_Fire_Points","Wilderness_Area1","Wilderness_Area2","Wilderness_Area3","Wilderness_Area4","Soil_Type10","Soil_Type12","Soil_Type22","Soil_Type23","Soil_Type29","Soil_Type30","Soil_Type32","Soil_Type33","Cover_Type"
3207,88,7,361,4,1601,231,228,1443,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3012,324,13,210,22,324,188,226,324,0,1,0,0,0,0,1,0,0,0,0,0,"1"
3404,231,16,182,36,1952,193,253,3642,0,1,0,0,0,0,0,0,0,0,1,0,"1"
3010,24,8,67,5,1201,216,224,1515,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3251,140,16,376,27,1354,242,234,2419,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3187,53,19,134,22,4184,227,195,3314,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3236,29,17,607,98,2255,212,202,2415,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3085,103,11,865,275,876,239,225,1358,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3283,273,9,30,-5,3450,195,243,1616,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3168,43,18,592,87,1530,221,198,3516,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3389,303,28,552,172,774,133,214,1065,0,1,0,0,0,0,0,0,0,0,0,1,"1"
3201,55,14,342,59,2940,228,210,4478,1,0,0,0,0,0,0,1,0,0,0,0,"1"
2953,84,5,120,7,5250,227,231,2172,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3118,3,10,170,32,3013,206,220,2334,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3185,358,5,330,0,1209,211,230,658,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3366,197,17,484,160,3252,213,252,600,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3247,357,16,30,8,3578,194,210,2379,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2803,53,16,127,16,2866,227,203,2207,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3063,52,15,150,20,1082,227,206,2268,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2958,34,18,134,22,2894,214,197,1350,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3192,324,15,162,13,4548,182,223,1650,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3301,15,12,408,109,1236,209,215,1812,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3112,113,17,108,14,3713,247,221,2942,0,0,1,0,0,0,1,0,0,0,0,0,"1"
3215,93,5,0,0,1359,228,232,2550,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3118,48,14,90,-1,1642,224,210,201,1,0,0,0,0,0,0,1,0,0,0,0,"1"
2879,13,26,532,66,3406,185,176,2506,0,0,1,0,1,0,0,0,0,0,0,0,"1"
3270,342,13,395,44,5484,193,220,1608,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3181,10,16,437,65,2053,201,206,3462,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3213,206,29,481,-7,1761,189,251,3606,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3100,222,7,42,-4,1277,211,247,1640,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3369,108,7,240,30,1706,232,232,3194,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3091,92,8,42,1,895,233,228,1622,1,0,0,0,0,0,0,0,0,1,0,0,"1"
2739,11,9,90,16,2343,211,222,6835,1,0,0,0,0,1,0,0,0,0,0,0,"1"
3235,347,18,297,39,4308,184,209,1116,0,0,1,0,0,0,0,0,0,0,1,0,"1"
2795,28,10,270,38,1851,216,217,2996,1,0,0,0,0,1,0,0,0,0,0,0,"1"
3117,346,14,283,59,4867,192,217,2922,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3030,358,5,780,109,1452,211,230,577,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3138,30,14,421,140,4806,215,208,2341,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3152,260,15,30,4,2844,183,247,484,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3229,105,15,700,113,2192,244,221,2609,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3104,160,10,300,49,3534,231,242,918,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3027,271,24,301,32,1692,150,240,3357,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3103,155,11,242,0,1047,233,241,1699,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3005,327,15,285,70,1486,182,222,3235,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3504,108,18,810,219,2389,248,216,1249,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3159,73,6,153,27,6498,228,228,2016,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3074,122,13,190,42,516,242,229,1304,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3152,105,13,190,46,3528,242,223,4280,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3234,343,8,30,-2,658,204,228,1110,0,1,0,0,0,0,0,0,0,0,0,0,"1"
2978,43,11,0,0,6047,222,216,3365,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3274,277,24,323,64,499,147,236,914,0,1,0,0,0,0,0,0,0,0,0,1,"1"
2720,11,8,301,10,960,212,224,1952,1,0,0,0,0,1,0,0,0,0,0,0,"1"
3312,189,6,390,17,1154,221,245,1260,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3138,37,2,170,6,371,219,234,2730,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3116,64,9,95,10,2856,229,221,3421,1,0,0,0,0,0,0,0,0,1,0,0,"1"
2975,43,18,335,43,4442,220,197,5079,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3162,347,4,570,25,1909,211,232,551,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3424,118,11,451,139,2045,240,230,1575,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2965,74,19,108,15,2980,239,200,1207,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3091,217,7,437,-3,2582,213,247,932,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3246,80,7,680,98,6019,229,228,1565,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2795,79,10,531,96,2980,233,223,6497,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3230,103,16,492,98,755,245,217,5562,0,1,0,0,0,0,1,0,0,0,0,0,"1"
3308,131,25,785,-39,1318,251,217,2571,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3063,41,21,30,1,2659,217,190,4087,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3268,28,14,604,192,750,214,210,918,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3103,9,20,511,111,2311,194,197,2470,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3253,38,22,212,6,2640,214,186,1406,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3225,96,9,42,3,5864,234,228,633,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3232,334,13,577,31,1822,190,222,457,0,0,1,0,0,0,1,0,0,0,0,0,"1"
3031,52,10,42,-1,2506,226,218,4105,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3202,74,14,258,-9,3001,236,213,2017,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2702,306,19,30,8,1296,164,225,1377,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3310,179,17,162,50,2482,225,248,3558,0,1,0,0,0,0,0,0,0,0,0,1,"1"
3372,68,9,124,4,1490,230,221,3522,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3047,303,13,30,12,2160,184,233,1248,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3298,2,17,153,17,1142,194,206,2460,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3225,51,25,240,26,2047,223,177,845,1,0,0,0,0,0,1,0,0,0,0,0,"1"
2997,143,10,108,11,120,235,238,1566,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3205,135,7,212,23,2771,231,237,5157,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3171,74,7,0,0,2397,229,227,1443,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3361,294,18,306,16,5277,166,233,900,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2835,285,25,124,36,836,142,230,1812,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2965,45,9,443,0,4547,223,220,2919,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3371,95,15,384,89,2190,243,217,2423,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3273,278,10,175,24,4943,191,242,2947,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3070,80,4,30,-2,3730,225,232,972,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3248,318,23,339,49,2056,154,212,3183,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2836,343,10,0,0,4010,200,225,3241,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3226,10,7,150,12,5568,213,227,850,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3428,112,20,451,4,2089,250,214,2795,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3065,340,10,30,5,594,200,226,1451,1,0,0,0,0,0,0,1,0,0,0,0,"1"
2907,24,10,433,65,2591,215,218,1213,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2942,6,18,216,55,2356,195,202,2040,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3283,45,10,339,65,1195,223,218,1851,0,1,0,0,0,0,0,1,0,0,0,0,"1"
3270,128,13,30,-2,1464,242,231,2925,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3304,135,9,272,80,1410,235,236,2461,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2904,219,16,450,72,2325,201,253,541,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3103,28,7,175,17,3158,218,225,3159,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3163,73,13,283,69,2363,235,214,845,0,0,1,0,0,0,0,0,0,0,1,0,"1"
2877,311,28,228,102,481,133,208,1061,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3139,76,11,301,58,1368,234,220,3282,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3302,31,11,127,7,1865,217,217,4841,0,1,0,0,0,0,1,0,0,0,0,0,"1"
3210,133,15,201,43,2704,243,231,875,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3234,45,17,335,59,3376,222,200,4521,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2906,122,9,607,158,2563,235,233,430,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3153,334,10,30,2,658,197,227,1290,0,1,0,0,0,0,0,1,0,0,0,0,"1"
3156,292,12,624,105,2916,186,238,247,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3043,135,5,30,-1,2529,229,238,3828,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3063,92,6,255,-6,2410,230,231,1958,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3305,273,27,408,91,633,137,235,1006,0,1,0,0,0,0,0,0,0,0,0,1,"1"
3278,354,6,780,52,2045,209,229,693,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3018,116,13,218,-9,134,242,227,1712,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3067,124,22,30,0,1040,251,218,2206,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3030,14,16,421,171,1316,203,206,3463,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3187,191,10,255,25,2081,220,248,1826,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3168,70,6,0,0,2547,227,228,2754,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3144,9,10,362,46,1724,209,221,3442,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2788,26,8,0,0,2058,216,222,2147,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3043,329,18,60,19,3022,175,216,2571,0,0,1,0,0,0,0,0,0,0,0,0,"1"
2985,173,8,300,59,5308,225,244,1767,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2854,82,25,175,32,323,245,189,216,1,0,0,0,0,0,1,0,0,0,0,0,"1"
2944,327,26,60,20,404,148,201,2285,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3074,250,18,277,58,1173,178,250,2780,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3097,307,5,60,8,1256,207,237,1529,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3233,32,19,362,97,979,212,195,5196,0,1,0,0,0,0,1,0,0,0,0,0,"1"
3055,17,5,234,40,2429,216,229,1834,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3138,116,26,376,121,3392,254,205,2044,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3018,122,9,335,-8,6454,235,233,3587,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3207,32,7,361,-13,5495,219,224,1854,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3032,1,21,573,25,1839,185,196,908,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3108,69,22,600,-66,1194,237,190,960,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3228,63,10,0,0,589,229,220,2078,1,0,0,0,0,0,1,0,0,0,0,0,"1"
2909,337,5,0,0,3814,208,232,4934,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3124,107,19,153,49,2863,249,213,3749,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3158,35,21,607,142,1560,213,190,3503,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3248,194,22,0,0,2467,211,251,3721,0,1,0,0,0,0,0,1,0,0,0,0,"1"
3075,60,8,30,-1,3785,226,224,997,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3304,347,11,466,52,4558,198,222,924,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3383,303,15,876,147,1068,179,232,2089,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3211,225,6,402,81,891,211,246,594,0,0,1,0,0,0,0,0,0,0,1,0,"1"
2845,19,10,42,-10,2639,213,219,2448,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3549,114,30,875,264,2324,254,194,1416,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3273,300,11,459,-1,2574,188,235,570,0,0,1,0,0,0,0,0,0,0,1,0,"1"
2739,19,9,0,0,3362,214,220,5948,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3215,59,6,0,0,5434,224,228,757,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3277,134,18,759,161,2551,245,229,2483,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3154,162,15,0,0,2254,234,242,3360,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3316,347,28,150,38,1034,156,184,1455,0,1,0,0,0,0,0,0,0,0,0,0,"1"
2959,342,6,240,4,3397,208,231,6456,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3221,74,10,480,38,5648,233,220,2073,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3121,108,19,124,20,2866,249,214,3772,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3242,59,11,30,-3,1806,228,218,2713,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3272,323,9,726,201,3419,196,230,1992,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3286,52,19,323,52,1618,226,195,2305,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3197,27,20,600,10,1879,206,191,1965,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3240,309,12,594,76,4301,187,232,845,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3195,305,13,228,34,4301,183,232,518,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3098,103,8,67,0,2138,233,230,2407,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3074,68,5,295,-9,4952,225,230,1127,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3090,342,11,153,15,2160,197,223,2308,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3268,112,13,0,0,5670,242,225,764,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3255,37,16,309,91,4142,218,203,1937,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3097,25,10,42,2,3805,215,219,285,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3226,23,13,726,81,2624,212,213,3305,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3028,42,15,42,17,1072,221,206,1073,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3095,292,15,127,4,3683,176,236,812,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3290,4,15,573,90,1115,199,210,430,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3123,90,9,255,10,3302,235,225,5106,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3315,2,12,395,87,1804,204,217,1064,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3201,288,22,306,95,270,155,232,731,0,1,0,0,0,0,1,0,0,0,0,0,"1"
3273,0,9,190,37,2135,206,222,2560,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3185,306,6,30,3,424,203,237,1110,0,1,0,0,0,0,0,1,0,0,0,0,"1"
3061,18,3,0,0,3392,217,233,2333,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3110,353,14,60,13,3903,196,215,1919,0,0,1,0,0,0,1,0,0,0,0,0,"1"
3092,35,4,134,8,5206,219,231,1110,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3329,141,13,30,3,1380,238,236,1516,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3016,87,28,268,80,1598,247,183,2550,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3200,323,7,120,27,1339,202,233,150,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3398,89,28,731,164,1994,248,182,1782,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2568,18,6,190,-20,1127,216,227,458,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3264,184,10,408,57,4179,223,247,2148,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3394,217,35,765,-47,3931,163,247,2122,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2972,216,9,85,10,5431,211,249,2292,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3376,279,11,841,119,1025,188,241,2191,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3164,47,8,470,83,1445,223,223,3489,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3141,322,14,212,44,4036,183,225,1142,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3152,273,13,150,21,1230,184,243,1399,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3086,264,11,216,53,1528,193,245,1296,0,0,1,0,0,0,0,1,0,0,0,0,"1"
2987,9,17,30,5,5393,199,205,2362,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3161,319,15,212,14,2436,179,225,480,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3175,15,7,366,92,4816,214,226,1584,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3253,292,22,379,54,2017,154,230,3218,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3372,88,8,595,87,1889,233,227,1832,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3066,353,9,67,8,1719,204,224,1154,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3240,347,17,42,6,4391,185,210,1411,0,0,1,0,0,0,1,0,0,0,0,0,"1"
2962,52,21,212,60,2121,226,191,1711,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3282,6,7,283,61,1315,211,226,531,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3193,73,10,192,11,5093,232,221,2125,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3021,70,9,90,5,1979,230,223,3489,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3156,260,18,891,381,1115,174,247,1442,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3080,342,10,120,2,2114,200,226,1224,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3076,92,7,421,-106,1732,232,229,1249,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3080,39,9,30,-2,3103,221,219,3180,1,0,0,0,0,0,0,0,0,0,0,0,"1"
2919,11,4,450,3,4885,216,232,3195,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3078,337,5,30,0,4444,208,232,3289,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3156,43,9,474,75,1481,222,220,3491,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3212,330,13,350,71,3780,188,224,2006,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3055,358,6,190,33,2053,210,228,1465,1,0,0,0,0,0,0,1,0,0,0,0,"1"
2985,275,3,446,13,5354,212,240,6515,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3141,206,10,134,24,1321,214,250,764,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3270,158,22,430,115,1590,238,238,1480,0,1,0,0,0,0,0,0,0,0,0,1,"1"
2902,304,12,30,9,2479,186,234,120,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3238,58,33,90,35,5006,223,154,95,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3164,1,13,576,83,1116,201,215,2431,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3003,80,20,0,0,573,242,200,1788,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2707,11,5,30,-1,1106,215,230,2005,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3138,308,6,240,26,1485,204,236,2262,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3084,109,16,175,52,2315,246,219,3391,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2830,217,5,42,-2,541,215,244,418,0,0,1,0,0,0,0,1,0,0,0,0,"1"
2995,190,13,180,18,1747,220,249,3684,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3109,98,7,30,0,2848,232,230,3412,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3215,286,14,324,52,2864,181,239,765,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3060,91,17,480,93,5042,244,211,1473,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3307,95,15,134,-18,2442,243,217,4194,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3229,295,18,212,65,1637,166,232,2476,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3138,317,13,201,34,4218,186,229,1187,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3246,29,15,641,128,3089,213,206,741,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3396,52,8,510,117,1952,225,223,1740,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3185,349,1,0,0,1543,216,236,633,0,1,0,0,0,0,0,0,0,0,1,0,"1"
3021,0,4,234,39,228,214,232,579,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3123,258,18,832,353,1110,175,248,1390,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3171,337,13,175,-14,1343,192,222,785,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3145,37,14,390,38,5664,219,208,812,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2781,349,6,443,38,2865,209,230,6616,1,0,0,0,0,1,0,0,0,0,0,0,"1"
3247,355,11,175,18,3226,201,220,2190,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3306,0,5,124,11,5397,213,231,552,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3270,73,8,268,51,2824,230,225,2482,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3344,180,12,277,65,3755,224,247,1718,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3036,351,11,120,24,3565,199,221,792,0,0,1,0,0,0,1,0,0,0,0,0,"1"
3433,250,9,806,182,3562,201,247,424,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3282,148,16,420,9,1040,240,237,2821,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3172,276,13,30,8,1683,184,242,2337,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3305,146,25,511,140,1718,245,227,1338,0,1,0,0,0,0,0,0,0,0,0,1,"1"
3118,344,7,323,27,1413,206,229,1233,0,1,0,0,0,0,0,0,0,0,0,0,"1"
3153,256,4,30,6,886,210,242,1577,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3179,144,16,319,101,277,241,235,2581,0,1,0,0,0,0,0,0,0,0,1,0,"1"
3066,231,10,85,9,1511,205,249,1782,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3294,10,11,330,38,5317,209,219,480,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3399,25,25,268,98,2412,199,177,1180,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3262,140,22,371,81,4200,246,227,1100,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3148,152,12,255,70,192,235,240,2184,0,1,0,0,0,0,0,0,0,0,1,0,"1"
3107,138,6,0,0,4097,229,238,1411,1,0,0,0,0,0,0,1,0,0,0,0,"1"
