"Elevation","Aspect","Slope","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Horizontal_Distance_To_Fire_Points","Wilderness_Area1","Wilderness_Area2","Wilderness_Area3","Wilderness_Area4","Soil_Type10","Soil_Type12","Soil_Type22","Soil_Type23","Soil_Type29","Soil_Type30","Soil_Type32","Soil_Type33","Cover_Type","Cover_Type"
3037,214,7,1034,214,247,1790,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3124,118,15,1315,244,226,2385,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3170,125,20,1077,249,222,2160,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3034,126,9,5531,235,234,6001,1,0,0,0,0,1,0,0,0,0,0,0,"1","1"
3303,93,9,1468,234,227,2296,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2794,55,13,834,228,211,1989,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
2919,256,9,5537,200,246,5734,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3051,172,3,4629,222,241,1154,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3302,17,17,5165,204,202,335,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3191,91,10,2460,236,224,2581,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3076,48,6,3596,223,226,384,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3201,54,7,3097,224,225,3604,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3191,116,10,3966,238,230,4224,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3159,71,11,4731,233,218,2706,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3247,33,5,4245,219,229,1057,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3208,105,5,5716,228,234,2457,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3092,98,28,2761,252,188,3625,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3165,11,16,1790,201,205,2495,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3167,38,19,1101,216,194,1919,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3277,29,8,1036,217,222,2379,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
2893,336,13,1319,191,222,2506,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3218,310,32,2925,119,200,2890,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3296,27,16,3807,211,203,1500,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3279,236,10,2922,202,249,612,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3188,107,13,3403,242,223,1864,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3108,353,6,4414,210,230,3422,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3346,224,30,3448,168,251,371,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3373,309,16,1022,173,227,797,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
3416,331,12,2568,190,224,1300,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3217,325,11,6107,192,228,1260,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2977,284,14,90,180,239,990,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3077,145,16,849,241,236,1507,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3153,67,7,1851,228,226,404,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3064,69,8,1206,229,224,841,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2943,290,7,600,200,239,1846,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3213,198,2,752,218,241,418,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3262,311,18,2424,169,225,120,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3454,148,8,2641,231,240,1598,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3215,32,4,5864,219,230,1173,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3057,337,5,5814,208,232,3784,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3509,106,19,2285,248,214,1415,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3406,338,11,1026,195,224,778,0,1,0,0,0,0,0,0,0,0,0,0,"1","1"
3209,90,3,2370,225,234,1639,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
2921,18,12,594,210,214,1036,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3201,18,10,4402,213,220,3360,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3188,45,5,2440,221,229,2486,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3251,185,11,2583,222,248,1321,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3221,264,2,3248,214,240,1641,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3002,288,23,2819,151,231,1797,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3195,148,9,5899,233,239,1233,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3165,337,12,2631,195,224,1590,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2970,325,18,2954,173,218,2012,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3156,38,22,1766,213,185,2084,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3023,90,8,2563,232,228,446,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3175,284,4,5037,209,240,2630,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3192,313,17,4642,173,225,1106,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
2992,336,16,3332,182,216,2063,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3111,330,9,1436,198,229,2257,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3122,68,9,5212,229,223,616,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3255,122,9,3010,236,233,684,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
2896,33,16,4525,215,205,5189,1,0,0,0,0,1,0,0,0,0,0,0,"1","1"
3038,29,23,1019,205,184,2021,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3115,86,28,1849,247,180,2960,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2979,9,11,2472,207,217,1355,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3172,65,16,3074,233,207,3218,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2856,10,9,1020,210,221,2654,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3035,0,4,2924,213,232,418,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3064,117,5,4203,229,235,787,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2954,348,19,1765,182,206,2658,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
2928,282,13,540,182,240,1849,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3069,276,29,2838,129,231,1637,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2606,127,16,3140,245,228,2403,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3178,243,5,2802,209,244,1195,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3234,99,12,787,240,223,2662,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3127,127,14,2897,243,230,1036,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3318,178,19,4552,225,247,3065,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3156,41,9,810,221,221,2033,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
2830,214,7,769,214,247,524,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3133,291,8,2440,197,239,693,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3197,38,14,3301,219,208,2294,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3279,46,24,907,219,181,1771,0,1,0,0,0,0,0,0,0,0,0,0,"1","1"
2959,43,8,780,222,222,1956,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3293,309,14,4264,182,230,1936,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3361,306,13,977,184,232,2205,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2974,84,6,2730,229,229,1749,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3144,272,7,892,201,243,1490,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3310,154,16,1436,238,239,2791,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3140,295,16,201,174,234,934,0,1,0,0,0,0,1,0,0,0,0,0,"1","1"
2866,248,29,2657,148,246,324,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2854,7,15,1484,202,210,2582,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3315,127,12,1380,240,232,2300,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3113,280,4,2442,208,240,1262,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3146,99,10,5971,236,227,1324,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3333,102,16,2436,245,217,1931,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3228,114,11,4484,240,229,2100,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3069,162,26,1699,234,236,1409,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3283,27,14,1172,213,210,1731,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3297,90,5,1612,227,232,3114,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3250,133,19,1433,246,227,2135,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3184,96,16,3421,244,215,417,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3223,206,9,503,215,249,918,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
3113,315,6,4548,204,235,3308,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3121,35,15,3070,217,206,1423,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
2924,283,17,752,172,239,1774,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2851,91,9,4385,235,226,5232,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3218,8,7,4106,212,227,2138,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3336,318,16,1527,175,223,2033,0,1,0,0,0,0,0,0,0,0,0,0,"1","1"
3310,306,8,3521,197,235,1443,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3330,276,38,3388,94,216,1723,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3153,110,9,5419,236,230,1745,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3275,1,13,4943,200,214,30,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3344,33,8,1106,219,223,2678,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
2984,270,5,1861,207,241,1110,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2886,63,20,295,233,194,492,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3035,171,15,600,229,246,1233,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3223,48,13,1597,224,212,713,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3316,32,20,2092,211,193,2094,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2898,61,11,2391,229,218,247,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3189,299,10,589,193,237,1253,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3188,70,7,4256,228,226,3156,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3249,292,17,4143,169,234,2285,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3251,28,17,3038,211,202,819,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2942,78,10,4009,234,221,5898,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3275,270,11,1567,192,244,2654,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2919,22,3,5160,218,233,3089,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
2955,56,17,4600,229,203,4451,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3082,117,4,2446,227,236,2002,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3130,116,6,5454,231,234,725,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3123,21,11,3770,213,217,1209,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
2857,28,19,4252,209,196,5486,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3290,280,16,4235,174,240,1672,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3380,15,16,5079,204,206,516,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
2975,348,7,3271,207,229,6500,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3174,133,22,4226,249,224,2110,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
2918,69,27,285,236,177,1310,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3089,29,6,5041,218,226,2203,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3215,285,11,277,188,240,1276,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
2621,162,5,2010,225,241,999,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3152,301,13,1231,182,234,1200,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3120,345,15,3030,190,216,2397,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3213,43,11,1848,222,215,811,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2937,48,7,4506,223,225,2885,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
2947,153,10,4549,232,241,4754,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3133,66,15,2160,233,210,2347,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3075,326,19,3794,168,215,769,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3385,31,26,2210,203,174,1950,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3302,187,16,4345,220,250,2308,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2975,77,14,255,237,214,484,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3180,32,13,1579,216,211,2495,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3227,181,19,819,223,248,1984,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
3188,26,7,3384,217,225,3711,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3301,108,6,6049,231,233,691,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3018,216,9,1289,211,249,1994,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3034,26,8,3956,216,222,3896,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3158,157,13,2555,234,241,2830,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3091,138,12,4952,239,236,1523,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3151,264,16,1087,178,246,2766,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3041,245,15,3121,188,250,900,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3045,144,7,4645,230,239,1253,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3184,101,8,5708,233,230,1790,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3249,2,25,992,177,184,1585,0,1,0,0,0,0,0,0,0,0,0,1,"1","1"
3172,284,9,4295,196,240,3252,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
2962,118,6,4950,230,235,2394,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3117,20,8,1869,215,224,1689,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3277,293,6,631,203,239,1165,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
2762,71,16,1557,236,206,1332,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3234,78,10,3840,233,222,3042,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3078,53,7,3586,224,225,366,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3238,39,13,3078,220,210,2338,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2982,39,20,4984,216,191,3112,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3092,300,9,4635,195,237,3145,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
2962,95,8,4434,234,228,4061,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3096,18,8,1592,214,223,3030,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3146,236,15,1498,192,252,2362,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3120,329,23,3112,158,205,642,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3082,310,12,2215,188,232,1150,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3335,28,10,2063,216,217,2107,0,1,0,0,0,0,0,0,0,0,0,0,"1","1"
3150,320,33,525,119,190,1890,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3344,124,22,4019,251,218,2659,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3203,138,6,2015,230,238,1868,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3098,299,17,1590,171,232,3200,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3200,271,21,256,162,242,636,0,1,0,0,0,0,1,0,0,0,0,0,"1","1"
2997,119,12,295,241,229,1006,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3219,127,5,4719,228,237,1895,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3219,67,2,1218,221,235,2250,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2961,137,16,942,243,232,1170,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2899,70,12,2363,233,217,433,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3203,54,13,1806,227,211,2825,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
2957,118,17,2202,247,223,765,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3138,29,10,2301,217,219,2162,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2890,307,17,5226,171,227,4329,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3121,77,4,1343,226,231,2135,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
2974,343,13,3045,194,220,1478,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3537,233,7,2813,208,247,2092,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3321,67,15,1710,234,208,1908,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3104,107,9,4410,235,230,3227,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2717,30,13,1645,216,211,339,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3170,25,7,2989,217,225,1652,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3031,32,9,5528,218,220,3923,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2747,238,16,2412,190,252,600,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3059,346,4,3261,212,233,510,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3063,113,4,731,226,236,1530,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3056,10,16,1165,201,206,1936,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2995,354,7,4984,208,227,5864,1,0,0,0,0,1,0,0,0,0,0,0,"1","1"
3175,298,26,837,137,220,2349,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3065,78,19,2220,240,203,1320,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3232,41,14,661,221,208,2490,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3074,45,0,3312,218,237,511,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3284,22,10,3120,214,218,2219,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3178,45,2,3501,220,234,4628,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3273,225,2,3770,216,241,2270,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3045,334,32,247,132,181,1170,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3054,340,8,5706,204,229,3797,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3265,59,10,1951,228,219,2536,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
2742,5,17,2995,196,205,6337,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3069,37,9,2219,220,220,2682,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3000,327,17,3237,175,218,1253,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3182,251,18,3880,178,250,1405,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3369,160,13,1343,233,242,1924,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3270,102,24,4395,251,201,1064,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3175,358,18,3548,189,204,3303,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3305,285,41,3343,79,202,1842,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3348,287,5,1209,206,240,2012,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3080,63,18,3300,233,201,5495,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3052,40,8,1538,221,222,2821,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2938,49,15,2770,225,207,503,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3100,344,4,2192,211,233,1879,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3018,48,17,1423,224,202,1987,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3213,45,8,1756,223,223,1423,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3180,32,9,2301,218,221,3287,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3242,8,12,3738,206,216,4134,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3406,290,20,5076,159,232,912,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
2834,253,5,598,209,243,511,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3203,24,23,2232,202,185,1622,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3087,342,2,418,214,235,666,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
2851,148,11,1357,234,239,1572,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3148,180,6,4625,223,244,1142,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3246,46,14,721,224,208,2491,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3211,7,18,4415,195,202,1651,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3057,200,19,5808,209,253,1802,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3097,350,7,1968,208,229,1095,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3144,328,8,5525,202,231,571,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3018,37,7,5079,220,224,4364,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2902,130,16,1167,244,229,485,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3223,45,4,5686,221,231,1861,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3350,46,29,4445,214,163,769,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3207,333,4,994,210,234,2044,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3358,184,14,1549,223,249,1717,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3265,57,14,3654,229,210,1651,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3034,86,13,834,239,217,1323,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3323,50,8,966,224,223,1024,0,1,0,0,0,0,0,1,0,0,0,0,"1","1"
3219,332,4,5729,211,235,760,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3198,70,11,2812,232,218,4978,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3382,175,8,3120,225,245,1154,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3385,297,16,2334,175,234,2275,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3458,196,17,3390,213,252,391,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3035,145,17,1756,241,235,1209,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
2976,326,11,4712,193,228,2440,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3293,343,9,6158,202,226,285,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3089,73,10,5184,232,221,830,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3276,38,17,912,218,200,579,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3168,85,9,4520,233,225,3395,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3214,76,14,1838,236,214,2646,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3178,77,13,3060,236,216,3227,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
